,file,latitude,longitude,Males,Females,Others
0,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 1\DJI_0904.JPG,46.7782,29.7603,0,0,0
1,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 1\DJI_0905.JPG,47.8834,30.7108,0,0,0
2,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 1\DJI_0906.JPG,48.4292,31.1996,0,0,0
3,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 1\DJI_0907.JPG,48.9724,31.6876,0,1,0
4,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 1\DJI_0908.JPG,49.5201,32.1761,1,0,0
5,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 1\DJI_0909.JPG,50.0605,32.6643,0,0,0
6,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 1\DJI_0910.JPG,50.6095,33.1539,1,7,0
7,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 1\DJI_0911.JPG,51.1479,33.6393,6,6,0
8,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 1\DJI_0912.JPG,51.3586,33.8349,7,6,0
9,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 1\DJI_0913.JPG,49.8769,34.0902,0,0,0
10,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 1\DJI_0914.JPG,49.3381,33.6078,0,0,0
