file_name,Date_str,Field,Flight,photo_name,height_x,width_x,id_x,lon_degrees,lon_minutes,lon_seconds,lat_degrees,lat_minutes,lat_seconds,id_y,image_id,category_id,center_x,center_y,width_y,height_y
Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 1\DJI_0904.JPG,2024_Dezember_03,Kontrollfeld,Flug 1,DJI_0904.JPG,4032,3024,0,54,22,29.7603,10,9,46.7782,,,,,,,
Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 1\DJI_0905.JPG,2024_Dezember_03,Kontrollfeld,Flug 1,DJI_0905.JPG,4032,3024,1,54,22,30.7108,10,9,47.8834,,,,,,,
Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 1\DJI_0906.JPG,2024_Dezember_03,Kontrollfeld,Flug 1,DJI_0906.JPG,4032,3024,2,54,22,31.1996,10,9,48.4292,,,,,,,
Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 1\DJI_0907.JPG,2024_Dezember_03,Kontrollfeld,Flug 1,DJI_0907.JPG,4032,3024,3,54,22,31.6876,10,9,48.9724,0,3,1,0.0356688,0.445661,0.0219304,0.0354836
Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 1\DJI_0908.JPG,2024_Dezember_03,Kontrollfeld,Flug 1,DJI_0908.JPG,4032,3024,4,54,22,32.1761,10,9,49.5201,1,4,0,0.0429528,0.516539,0.031,0.0384585
Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 1\DJI_0909.JPG,2024_Dezember_03,Kontrollfeld,Flug 1,DJI_0909.JPG,4032,3024,5,54,22,32.6643,10,9,50.0605,,,,,,,
Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 1\DJI_0910.JPG,2024_Dezember_03,Kontrollfeld,Flug 1,DJI_0910.JPG,4032,3024,6,54,22,33.1539,10,9,50.6095,2,6,1,0.44824,0.100812,0.0246472,0.0308987
Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 1\DJI_0910.JPG,2024_Dezember_03,Kontrollfeld,Flug 1,DJI_0910.JPG,4032,3024,6,54,22,33.1539,10,9,50.6095,3,6,1,0.471791,0.590504,0.017818,0.0316846
Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 1\DJI_0910.JPG,2024_Dezember_03,Kontrollfeld,Flug 1,DJI_0910.JPG,4032,3024,6,54,22,33.1539,10,9,50.6095,4,6,1,0.361252,0.156304,0.0153072,0.0283347
Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 1\DJI_0910.JPG,2024_Dezember_03,Kontrollfeld,Flug 1,DJI_0910.JPG,4032,3024,6,54,22,33.1539,10,9,50.6095,5,6,1,0.576075,0.222857,0.0160963,0.0296888
Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 1\DJI_0910.JPG,2024_Dezember_03,Kontrollfeld,Flug 1,DJI_0910.JPG,4032,3024,6,54,22,33.1539,10,9,50.6095,6,6,0,0.49871,0.101613,0.0142033,0.0275178
Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 1\DJI_0910.JPG,2024_Dezember_03,Kontrollfeld,Flug 1,DJI_0910.JPG,4032,3024,6,54,22,33.1539,10,9,50.6095,7,6,1,0.37805,0.133811,0.0161758,0.029362
Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 1\DJI_0910.JPG,2024_Dezember_03,Kontrollfeld,Flug 1,DJI_0910.JPG,4032,3024,6,54,22,33.1539,10,9,50.6095,8,6,1,0.545783,0.639875,0.0217202,0.036323
Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 1\DJI_0910.JPG,2024_Dezember_03,Kontrollfeld,Flug 1,DJI_0910.JPG,4032,3024,6,54,22,33.1539,10,9,50.6095,9,6,1,0.363153,0.529467,0.0186852,0.0307258
Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 1\DJI_0911.JPG,2024_Dezember_03,Kontrollfeld,Flug 1,DJI_0911.JPG,4032,3024,7,54,22,33.6393,10,9,51.1479,10,7,1,0.457991,0.961731,0.0175306,0.034666
Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 1\DJI_0911.JPG,2024_Dezember_03,Kontrollfeld,Flug 1,DJI_0911.JPG,4032,3024,7,54,22,33.6393,10,9,51.1479,11,7,0,0.355136,0.0384599,0.0223321,0.0256114
Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 1\DJI_0911.JPG,2024_Dezember_03,Kontrollfeld,Flug 1,DJI_0911.JPG,4032,3024,7,54,22,33.6393,10,9,51.1479,12,7,1,0.90824,0.699413,0.0150899,0.0314076
Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 1\DJI_0911.JPG,2024_Dezember_03,Kontrollfeld,Flug 1,DJI_0911.JPG,4032,3024,7,54,22,33.6393,10,9,51.1479,13,7,0,0.301261,0.213849,0.0186483,0.0329793
Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 1\DJI_0911.JPG,2024_Dezember_03,Kontrollfeld,Flug 1,DJI_0911.JPG,4032,3024,7,54,22,33.6393,10,9,51.1479,14,7,0,0.919527,0.372342,0.0221426,0.0400759
Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 1\DJI_0911.JPG,2024_Dezember_03,Kontrollfeld,Flug 1,DJI_0911.JPG,4032,3024,7,54,22,33.6393,10,9,51.1479,15,7,0,0.865859,0.446256,0.0203963,0.0381211
Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 1\DJI_0911.JPG,2024_Dezember_03,Kontrollfeld,Flug 1,DJI_0911.JPG,4032,3024,7,54,22,33.6393,10,9,51.1479,16,7,1,0.343758,0.350301,0.0185184,0.0224971
Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 1\DJI_0911.JPG,2024_Dezember_03,Kontrollfeld,Flug 1,DJI_0911.JPG,4032,3024,7,54,22,33.6393,10,9,51.1479,17,7,1,0.395914,0.874907,0.0173576,0.0309806
Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 1\DJI_0911.JPG,2024_Dezember_03,Kontrollfeld,Flug 1,DJI_0911.JPG,4032,3024,7,54,22,33.6393,10,9,51.1479,18,7,0,0.93188,0.146724,0.0234364,0.0302377
Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 1\DJI_0911.JPG,2024_Dezember_03,Kontrollfeld,Flug 1,DJI_0911.JPG,4032,3024,7,54,22,33.6393,10,9,51.1479,19,7,1,0.401162,0.609171,0.0165107,0.0313005
Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 1\DJI_0911.JPG,2024_Dezember_03,Kontrollfeld,Flug 1,DJI_0911.JPG,4032,3024,7,54,22,33.6393,10,9,51.1479,20,7,1,0.552655,0.929606,0.0154174,0.029752
Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 1\DJI_0911.JPG,2024_Dezember_03,Kontrollfeld,Flug 1,DJI_0911.JPG,4032,3024,7,54,22,33.6393,10,9,51.1479,21,7,0,0.992489,0.132103,0.0150213,0.0307726
Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 1\DJI_0912.JPG,2024_Dezember_03,Kontrollfeld,Flug 1,DJI_0912.JPG,4032,3024,8,54,22,33.8349,10,9,51.3586,22,8,1,0.916483,0.195854,0.0282325,0.0321715
Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 1\DJI_0912.JPG,2024_Dezember_03,Kontrollfeld,Flug 1,DJI_0912.JPG,4032,3024,8,54,22,33.8349,10,9,51.3586,23,8,1,0.525462,0.0832065,0.0238303,0.0279442
Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 1\DJI_0912.JPG,2024_Dezember_03,Kontrollfeld,Flug 1,DJI_0912.JPG,4032,3024,8,54,22,33.8349,10,9,51.3586,24,8,0,0.361854,0.371342,0.022889,0.0286164
Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 1\DJI_0912.JPG,2024_Dezember_03,Kontrollfeld,Flug 1,DJI_0912.JPG,4032,3024,8,54,22,33.8349,10,9,51.3586,25,8,0,0.299788,0.560846,0.0211471,0.0299096
