,file_name_x,height_x_x,width_x_x,lat,lon,id_x,lon_degrees_x,lon_minutes_x,lon_seconds_x,lat_degrees_x,lat_minutes_x,lat_seconds_x,id_y_x,image_id_x,category_id_x,bbox,center_x,center_y,width_y,height_y,file_name_y,Date_str,Field,Flight,photo_name,height_x_y,width_x_y,lon_degrees_y,lon_minutes_y,lon_seconds_y,lat_degrees_y,lat_minutes_y,lat_seconds_y,id_y_y,image_id_y,category_id_y
0,C:\Users\247404\Documents\2024\ducks\test_2025\1000.JPG,4032,3024,"{'degrees': 10.0, 'minutes': 9.0, 'seconds': 37.6007}","{'degrees': 54.0, 'minutes': 22.0, 'seconds': 25.6019}",1000,54,22,25.6019,10,9,37.6007,,,,,,,,,Fotos Drohne\Kontrollfluege\2025_Februar_17\Neues Feld\DJI_0232.JPG,2025_Februar_17,Neues Feld,Flug 1,DJI_0232.JPG,4032.0,3024.0,54.0,22.0,25.6019,10.0,9.0,37.6007,,,
1,C:\Users\247404\Documents\2024\ducks\test_2025\1004.JPG,4032,3024,"{'degrees': 10.0, 'minutes': 9.0, 'seconds': 34.7504}","{'degrees': 54.0, 'minutes': 22.0, 'seconds': 24.7873}",1004,54,22,24.7873,10,9,34.7504,,,,,,,,,Fotos Drohne\Kontrollfluege\2025_Februar_17\Neues Feld\DJI_0236.JPG,2025_Februar_17,Neues Feld,Flug 1,DJI_0236.JPG,4032.0,3024.0,54.0,22.0,24.7873,10.0,9.0,34.7504,,,
2,C:\Users\247404\Documents\2024\ducks\test_2025\1006.JPG,4032,3024,"{'degrees': 10.0, 'minutes': 9.0, 'seconds': 35.9126}","{'degrees': 54.0, 'minutes': 22.0, 'seconds': 25.7392}",1006,54,22,25.7392,10,9,35.9126,,,,,,,,,Fotos Drohne\Kontrollfluege\2025_Februar_17\Neues Feld\DJI_0238.JPG,2025_Februar_17,Neues Feld,Flug 1,DJI_0238.JPG,4032.0,3024.0,54.0,22.0,25.7392,10.0,9.0,35.9126,,,
3,C:\Users\247404\Documents\2024\ducks\test_2025\1009.JPG,4032,3024,"{'degrees': 10.0, 'minutes': 9.0, 'seconds': 37.6748}","{'degrees': 54.0, 'minutes': 22.0, 'seconds': 27.1527}",1009,54,22,27.1527,10,9,37.6748,,,,,,,,,Fotos Drohne\Kontrollfluege\2025_Februar_17\Neues Feld\DJI_0241.JPG,2025_Februar_17,Neues Feld,Flug 1,DJI_0241.JPG,4032.0,3024.0,54.0,22.0,27.1527,10.0,9.0,37.6748,,,
4,C:\Users\247404\Documents\2024\ducks\test_2025\1013.JPG,4032,3024,"{'degrees': 10.0, 'minutes': 9.0, 'seconds': 40.0211}","{'degrees': 54.0, 'minutes': 22.0, 'seconds': 29.0382}",1013,54,22,29.0382,10,9,40.0211,0.0,4.0,,"{'center_x': 0.712102, 'center_y': 0.819199, 'width': 0.013916, 'height': 0.020265}",0.712102,0.819199,0.013916,0.020265,,,,,,,,,,,,,,,,
5,C:\Users\247404\Documents\2024\ducks\test_2025\1019.JPG,4032,3024,"{'degrees': 10.0, 'minutes': 9.0, 'seconds': 49.2743}","{'degrees': 54.0, 'minutes': 22.0, 'seconds': 31.2598}",1019,54,22,31.2598,10,9,49.2743,,,,,,,,,Fotos Drohne\Kontrollfluege\2025_Februar_21\Altes Feld\DJI_0249.JPG,2025_Februar_21,Altes Feld,Flug 1,DJI_0249.JPG,4032.0,3024.0,54.0,22.0,31.2598,10.0,9.0,49.2743,,,
6,C:\Users\247404\Documents\2024\ducks\test_2025\103.JPG,4032,3024,"{'degrees': 10.0, 'minutes': 9.0, 'seconds': 42.6794}","{'degrees': 54.0, 'minutes': 22.0, 'seconds': 28.1942}",103,54,22,28.1942,10,9,42.6794,,,,,,,,,,,,,,,,,,,,,,,,
7,C:\Users\247404\Documents\2024\ducks\test_2025\1030.JPG,4032,3024,"{'degrees': 10.0, 'minutes': 9.0, 'seconds': 49.2414}","{'degrees': 54.0, 'minutes': 22.0, 'seconds': 32.8271}",1030,54,22,32.8271,10,9,49.2414,,,,,,,,,Fotos Drohne\Kontrollfluege\2025_Februar_21\Altes Feld\DJI_0260.JPG,2025_Februar_21,Altes Feld,Flug 1,DJI_0260.JPG,4032.0,3024.0,54.0,22.0,32.8271,10.0,9.0,49.2414,,,
8,C:\Users\247404\Documents\2024\ducks\test_2025\1033.JPG,4032,3024,"{'degrees': 10.0, 'minutes': 9.0, 'seconds': 50.5696}","{'degrees': 54.0, 'minutes': 22.0, 'seconds': 34.0216}",1033,54,22,34.0216,10,9,50.5696,,,,,,,,,Fotos Drohne\Kontrollfluege\2025_Februar_21\Altes Feld\DJI_0263.JPG,2025_Februar_21,Altes Feld,Flug 1,DJI_0263.JPG,4032.0,3024.0,54.0,22.0,34.0216,10.0,9.0,50.5696,,,
9,C:\Users\247404\Documents\2024\ducks\test_2025\1048.JPG,4032,3024,"{'degrees': 10.0, 'minutes': 9.0, 'seconds': 46.3388}","{'degrees': 54.0, 'minutes': 22.0, 'seconds': 33.4285}",1048,54,22,33.4285,10,9,46.3388,,,,,,,,,Fotos Drohne\Kontrollfluege\2025_Februar_21\Altes Feld\DJI_0278.JPG,2025_Februar_21,Altes Feld,Flug 1,DJI_0278.JPG,4032.0,3024.0,54.0,22.0,33.4285,10.0,9.0,46.3388,,,
