,date,label,latitude,longitude,xnorm,ynorm,bird
0,07/03/2024,"DJI_0157(M:1,F:0,O:0)",2.913613948,44.34325963,1,1,Males
5,08/02/2024,"DJI_0035(M:4,F:2,O:0)",3.89630007,45.94227595,5,2,Males
6,08/02/2024,"DJI_0035(M:4,F:2,O:0)",3.89630007,45.94227595,6,2,Males
7,08/02/2024,"DJI_0035(M:4,F:2,O:0)",3.89630007,45.94227595,6,2,Males
8,08/02/2024,"DJI_0035(M:4,F:2,O:0)",3.89630007,45.94227595,6,2,Males
10,08/12/2023,"DJI_0334(M:2,F:0,O:0)",5.125521453,51.25168595,6,4,Males
11,08/12/2023,"DJI_0334(M:2,F:0,O:0)",5.125521453,51.25168595,6,4,Males
12,08/12/2023,"DJI_0337(M:13,F:2,O:0)",5.12840633,48.98814407,6,4,Males
13,08/12/2023,"DJI_0337(M:13,F:2,O:0)",5.12840633,48.98814407,6,4,Males
14,08/12/2023,"DJI_0337(M:13,F:2,O:0)",5.12840633,48.98814407,6,4,Males
15,08/12/2023,"DJI_0337(M:13,F:2,O:0)",5.12840633,48.98814407,6,4,Males
16,08/12/2023,"DJI_0337(M:13,F:2,O:0)",5.12840633,48.98814407,6,4,Males
17,08/12/2023,"DJI_0337(M:13,F:2,O:0)",5.12840633,48.98814407,6,4,Males
18,08/12/2023,"DJI_0337(M:13,F:2,O:0)",5.12840633,48.98814407,6,4,Males
19,08/12/2023,"DJI_0337(M:13,F:2,O:0)",5.12840633,48.98814407,6,4,Males
20,08/12/2023,"DJI_0337(M:13,F:2,O:0)",5.12840633,48.98814407,6,4,Males
21,08/12/2023,"DJI_0337(M:13,F:2,O:0)",5.12840633,48.98814407,6,4,Males
22,08/12/2023,"DJI_0337(M:13,F:2,O:0)",5.12840633,48.98814407,6,4,Males
23,08/12/2023,"DJI_0337(M:13,F:2,O:0)",5.12840633,48.98814407,6,4,Males
24,08/12/2023,"DJI_0337(M:13,F:2,O:0)",5.12840633,48.98814407,6,4,Males
221,08/12/2023,"DJI_0337(M:13,F:2,O:0)",5.12840633,48.98814407,6,4,Females
222,08/12/2023,"DJI_0337(M:13,F:2,O:0)",5.12840633,48.98814407,6,4,Females
25,08/12/2023,"DJI_0339(M:2,F:0,O:0)",5.121426596,47.47937256,6,4,Males
26,08/12/2023,"DJI_0339(M:2,F:0,O:0)",5.121426596,47.47937256,6,4,Males
29,11/01/2024,"DJI_0544(M:4,F:0,O:0)",5.823628934,47.39805788,6,4,Males
30,11/01/2024,"DJI_0544(M:4,F:0,O:0)",5.823628934,47.39805788,6,4,Males
31,11/01/2024,"DJI_0544(M:4,F:0,O:0)",5.823628934,47.39805788,6,4,Males
32,11/01/2024,"DJI_0544(M:4,F:0,O:0)",5.823628934,47.39805788,6,4,Males
33,11/01/2024,"DJI_0548(M:1,F:0,O:0)",5.829594502,45.09785827,6,4,Males
34,11/01/2024,"DJI_0550(M:1,F:0,O:0)",4.856554678,45.13532826,6,3,Males
35,11/01/2024,"DJI_0552(M:4,F:0,O:0)",4.845125827,46.42125917,6,3,Males
36,11/01/2024,"DJI_0552(M:4,F:0,O:0)",4.845125827,46.42125917,6,3,Males
37,11/01/2024,"DJI_0552(M:4,F:0,O:0)",4.845125827,46.42125917,6,3,Males
38,11/01/2024,"DJI_0552(M:4,F:0,O:0)",4.845125827,46.42125917,6,3,Males
39,11/01/2024,"DJI_0554(M:1,F:0,O:0)",4.838316996,47.64850213,6,3,Males
41,11/12/2023,"DJI_0375(M:1,F:1,O:0)",5.119971657,48.98845438,6,4,Males
224,11/12/2023,"DJI_0375(M:1,F:1,O:0)",5.119971657,48.98845438,6,4,Females
42,11/12/2023,"DJI_0376(M:2,F:0,O:0)",5.123398324,48.23458005,6,4,Males
43,11/12/2023,"DJI_0376(M:2,F:0,O:0)",5.123398324,48.23458005,6,4,Males
